date,open,high,low,close,volume
2024-11-01T00:00:00Z,70292.01,70461.99,70248.96,70461.99,282.23452
2024-11-01T00:15:00Z,70461.99,70470,70360.01,70428,128.25643
2024-11-01T00:30:00Z,70428,70428,70146.8,70256,277.84636
2024-11-01T00:45:00Z,70255.99,70381,70173.72,70173.73,152.11559
2024-11-01T01:00:00Z,70173.72,70360,70165.79,70340,155.67758
2024-11-01T01:15:00Z,70340,70340,70014,70043.35,284.9734
2024-11-01T01:30:00Z,70043.34,70043.34,69520,69929.78,873.82669
2024-11-01T01:45:00Z,69929.78,70062,69313.74,69402.01,857.23623
2024-11-01T02:00:00Z,69402,69538,68830,69042.01,1619.47777
2024-11-01T02:15:00Z,69042.01,69427.2,69042.01,69390.01,543.76755
2024-11-01T02:30:00Z,69390,69510,69304.6,69326.02,319.1222
2024-11-01T02:45:00Z,69326.01,69600,69140.07,69579.89,319.73466
2024-11-01T03:00:00Z,69579.89,69646.9,69494,69561.16,362.36795
2024-11-01T03:15:00Z,69561.17,69714.45,69540,69646,148.82856
2024-11-01T03:30:00Z,69645.99,69670.21,69455.32,69466.55,180.02316
2024-11-01T03:45:00Z,69466.54,69489.75,69334,69369.99,230.5939
2024-11-01T04:00:00Z,69369.99,69459.52,69342.01,69429.99,193.6414
2024-11-01T04:15:00Z,69429.99,69500,69356.01,69499.99,176.08345
2024-11-01T04:30:00Z,69499.99,69572,69486.01,69570.01,109.53899
2024-11-01T04:45:00Z,69570.01,69623.99,69528.23,69592,191.14486
2024-11-01T05:00:00Z,69592,69636.78,69526,69553.96,96.03762
2024-11-01T05:15:00Z,69553.96,69648,69526.01,69617.18,131.14998
2024-11-01T05:30:00Z,69617.19,69650.01,69582,69632,106.63173
2024-11-01T05:45:00Z,69632,69670.9,69580,69609.29,108.08488
2024-11-01T06:00:00Z,69609.28,69699.14,69400,69400.01,383.77941
2024-11-01T06:15:00Z,69400.01,69455.41,69299.96,69308,430.89599
2024-11-01T06:30:00Z,69308.01,69516.01,69278.47,69438.94,248.27856
2024-11-01T06:45:00Z,69438.94,69536,69212.12,69212.13,244.36163
2024-11-01T07:00:00Z,69212.13,69333.34,69080,69100.86,442.50951
2024-11-01T07:15:00Z,69100.87,69302,69082,69254.01,202.91756
2024-11-01T07:30:00Z,69254.01,69420.13,69254.01,69294.61,508.81095
2024-11-01T07:45:00Z,69294.61,69401.44,69227.71,69273.7,266.2669
2024-11-01T08:00:00Z,69273.7,69446,69237.26,69442,265.06108
2024-11-01T08:15:00Z,69442,69538,69415.45,69462,275.72156
2024-11-01T08:30:00Z,69461.99,69515.16,69354.77,69430,181.89979
2024-11-01T08:45:00Z,69430,69496.72,69307.44,69376.1,159.73659
2024-11-01T09:00:00Z,69376.1,69488,69324,69483.99,121.55839
2024-11-01T09:15:00Z,69483.99,69500,69400,69428,88.37608
2024-11-01T09:30:00Z,69428.01,69550,69406,69533.99,128.73322
2024-11-01T09:45:00Z,69533.99,69588,69499.91,69534.9,147.43097
2024-11-01T10:00:00Z,69534.9,69656,69524.28,69647.5,146.93142
2024-11-01T10:15:00Z,69647.5,70000,69647.49,69994,730.50248
2024-11-01T10:30:00Z,69994.01,70156,69814,69832.51,589.88051
2024-11-01T10:45:00Z,69832.51,70051.1,69748.68,69989.65,292.55306
2024-11-01T11:00:00Z,69989.64,70210,69989.64,70176,472.23638
2024-11-01T11:15:00Z,70176,70228,70103.92,70187.99,306.92238
2024-11-01T11:30:00Z,70188,70190.07,70083.6,70173.99,187.96468
2024-11-01T11:45:00Z,70174,70174.59,69987.77,70002.01,163.11867
2024-11-01T12:00:00Z,70002.01,70218,69990,70167.95,207.96925
2024-11-01T12:15:00Z,70167.96,70254,70055.46,70094,280.97675
2024-11-01T12:30:00Z,70094.01,70450.7,69897.02,70279.17,932.76602
2024-11-01T12:45:00Z,70279.18,70467.65,70234,70354.87,455.10516
2024-11-01T13:00:00Z,70354.86,70354.86,70142,70202.83,296.44821
2024-11-01T13:15:00Z,70202.83,70335,70176,70222,271.03578
2024-11-01T13:30:00Z,70222,70900,70169.5,70636,1195.99126
2024-11-01T13:45:00Z,70636,71220,70488.51,71200.44,1221.78717
2024-11-01T14:00:00Z,71200.43,71414.4,70949.12,71352.01,944.8148
2024-11-01T14:15:00Z,71352.01,71552.59,71248.22,71505.94,788.26957
2024-11-01T14:30:00Z,71505.94,71632.95,71139.9,71220,828.07819
2024-11-01T14:45:00Z,71220,71326.3,70912.6,71271.17,751.08454
2024-11-01T15:00:00Z,71271.17,71360,70922,71090.9,592.76948
2024-11-01T15:15:00Z,71090.9,71090.91,70654,70873.98,555.28576
2024-11-01T15:30:00Z,70873.98,70878,69740,69945.71,1467.90209
2024-11-01T15:45:00Z,69945.71,69954,69044,69387.77,1792.96889
2024-11-01T16:00:00Z,69387.78,70032.61,69352,70032.61,1008.36647
2024-11-01T16:15:00Z,70032.6,70515.16,69951.32,70224.01,863.69977
2024-11-01T16:30:00Z,70224.01,70396,69865.89,69965.94,544.47133
2024-11-01T16:45:00Z,69965.94,70228,69879.9,69920.73,456.07975
2024-11-01T17:00:00Z,69920.72,70020,69475,69894,821.33794
2024-11-01T17:15:00Z,69894,70181.83,69878.78,70045.53,470.9035
2024-11-01T17:30:00Z,70045.54,70060,69600,69670,438.39795
2024-11-01T17:45:00Z,69670.01,69933.64,69534.32,69586.01,529.47981
2024-11-01T18:00:00Z,69586.01,69636.37,69368,69434,364.45173
2024-11-01T18:15:00Z,69433.99,69575.76,69272.72,69459.91,352.03602
2024-11-01T18:30:00Z,69459.9,69534,69264,69351.99,229.28168
2024-11-01T18:45:00Z,69351.99,69380,69066.07,69151.66,509.68684
2024-11-01T19:00:00Z,69151.66,69313.73,68820.14,68880,790.73211
2024-11-01T19:15:00Z,68880,69196,68850,69053.99,433.69683
2024-11-01T19:30:00Z,69054,69454,69039.2,69198,388.03251
2024-11-01T19:45:00Z,69198,69354.53,68929.56,69268,521.60895
2024-11-01T20:00:00Z,69268,69378.66,69179.9,69343.19,148.57631
2024-11-01T20:15:00Z,69343.19,69452,69209.91,69408.95,214.31197
2024-11-01T20:30:00Z,69408.95,69460,69359.9,69438.16,175.84457
2024-11-01T20:45:00Z,69438.15,69440,69168.6,69248.95,183.92067
2024-11-01T21:00:00Z,69248.95,69358.77,69172,69240,97.65458
2024-11-01T21:15:00Z,69239.99,69274,68922,68960.51,265.14203
